site,sid,leaktype,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
S-4885025022,S-0359369085190953,other,3,26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,250
S-2711010100,S-0359369084047014,other,3,22,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,250
S-4677025029,S-0359369081310084,other,4,10,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,420
S-4721011100,S-0359369084117346,other,2,7,3,4,4,3,3,4,4,3,3,3,3,4,4,2,4,3,4,3,3,3,4,4,4,390
S-4721011100,S-0359369084144530,other,11,24,8,7,6,5,8,5,7,5,5,7,6,6,6,5,5,5,5,5,5,5,6,5,5,300
S-4682025024,S-0359369085689376,other,2,24,2,2,2,2,2,5,5,2,2,2,10,2,2,2,2,2,2,2,2,2,2,5,5,240
S-4372025021,S-0359369085158232,other,17,39,8,11,6,4,4,4,4,4,4,4,4,2,2,2,2,4,4,2,4,2,4,4,4,270
S-4885025022,S-0359369085168546,other,6,52,23,27,21,6,6,8,8,8,25,23,15,17,6,6,4,4,6,6,6,6,8,8,6,250
S-4372025021,S-0359369085158232,other,20,28,12,10,6,4,4,4,4,2,2,4,4,2,2,4,2,4,2,2,4,2,2,2,2,260
S-4885025022,S-0359369085094494,other,0,126,29,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280
S-4784025026,S-0359369085090617,other,4,10,5,6,4,4,5,5,4,5,5,5,5,6,4,5,5,5,5,4,5,5,6,5,5,390
S-4677025028,S-0359369084262720,other,4,29,7,6,7,5,6,5,7,7,5,6,4,7,6,5,5,7,5,6,7,5,6,5,7,360
S-4793025022,S-0359369085859722,other,2,16,2,2,2,2,2,2,5,2,2,5,2,5,5,2,2,2,2,2,2,2,2,2,2,240
S-4677025033,S-0359369081372670,other,4,8,7,6,6,5,6,6,6,4,5,6,7,6,7,6,6,5,6,7,7,6,5,7,6,390
S-4885025022,S-0359369085144158,other,13,140,27,23,21,19,42,17,19,19,19,17,25,19,21,15,13,15,19,21,19,55,63,49,32,260
S-4885025022,S-0359369085188809,other,8,253,29,47,60,16,21,18,18,21,16,18,29,21,13,13,18,16,29,10,13,16,16,13,16,320
S-4573025028,S-0359369085097737,other,4,6,6,6,6,4,6,6,6,6,6,6,6,5,6,6,5,6,5,6,5,6,6,6,6,240
S-2711010100,S-0359369084047014,other,2,25,18,16,5,5,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,250
S-4677025029,S-0359369081312742,other,3,33,6,8,6,4,5,5,4,5,5,5,5,4,5,4,4,4,4,5,4,4,5,4,5,380
S-4673025027,S-0359369085087449,other,0,54,4,4,4,0,4,11,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,240
S-4687025030,S-0359369085177745,other,2,21,2,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,4,4,4,4,4,4,4,250
