site,sid,leaktype,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
S-4372025021,S-0359369085128045,noise,0,63,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360
S-4372025021,S-0359369085130066,noise,4,34,6,5,6,5,4,5,4,5,4,5,5,4,4,5,5,5,5,5,5,8,5,4,6,270
S-4772025022,S-0359369084113212,noise,4,29,5,4,5,4,4,5,5,4,5,5,5,4,5,6,4,5,4,5,5,5,5,4,4,350
S-4682025024,S-0359369085686448,noise,0,73,6,6,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,270
S-4784025026,S-0359369085084776,noise,0,135,35,32,16,16,10,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,300
S-4784025026,S-0359369085084776,noise,0,149,58,9,3,3,3,0,0,0,0,0,3,3,0,3,0,0,0,0,3,3,0,3,0,300
S-4571025029,S-0359369084042932,noise,4,15,5,5,5,5,5,5,5,5,6,5,4,6,6,6,6,5,6,5,6,6,7,5,7,260
S-4784025026,S-0359369085184170,noise,2,15,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,4,4,2,240
S-4886025023,S-0359369085124069,noise,2,7,2,2,5,2,2,2,2,2,5,2,5,2,5,5,2,2,2,2,5,5,2,5,5,110
S-4573025028,S-0359369085134522,noise,5,84,16,12,10,4,5,5,4,5,4,5,4,4,4,5,4,4,4,4,5,4,5,4,5,340
S-4673025027,S-0359369085126874,noise,3,17,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,240
S-4372025021,S-0359369085128045,noise,0,48,4,0,0,4,4,0,4,0,0,4,4,4,4,0,4,4,4,4,4,4,4,0,4,360
S-4673025027,S-0359369085172498,noise,4,37,4,4,0,0,0,20,25,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,240
S-4372025021,S-0359369085121958,noise,4,35,6,6,6,4,4,4,4,4,4,4,6,6,4,4,4,6,4,4,4,4,4,4,4,260
S-4793025022,S-0359369084007737,noise,0,24,3,0,3,0,3,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,3,240
S-4372025021,S-0359369085085856,noise,2,13,4,6,6,4,6,4,4,4,4,4,4,4,6,4,4,4,6,6,4,6,4,4,4,240
S-4673025027,S-0359369085714323,noise,4,96,8,10,6,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,250
S-4793025022,S-0359369085712038,noise,0,28,0,0,0,0,5,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
S-4784025026,S-0359369085175715,noise,0,23,5,0,0,0,0,5,0,0,0,0,9,0,0,0,0,41,5,0,0,5,0,0,0,250
S-4784025026,S-0359369085177968,noise,0,22,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,240
S-4728010101,S-0359369085288617,noise,4,32,6,4,5,5,6,6,5,5,6,5,6,5,6,6,6,6,5,5,6,6,6,5,7,280
S-4673025027,S-0359369085152219,noise,3,12,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,240
S-4793025022,S-0359369085861009,noise,0,65,5,3,0,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,250
S-4677025033,S-0359369081334563,noise,0,19,5,3,3,3,3,3,3,5,3,3,3,5,3,3,3,3,5,5,3,3,3,3,3,390
