site,sid,leaktype,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
S-2911010107,S-0359369084047865,normal,4,24,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,6,7,4,6,6,280
S-4571025029,S-0359369084037239,normal,4,148,6,6,8,5,6,6,6,6,4,6,6,6,5,5,6,4,6,5,6,9,7,16,9,320
S-4571025029,S-0359369084036124,normal,4,79,20,14,9,9,5,5,5,6,3,4,5,4,4,4,4,4,3,3,4,3,4,4,4,270
S-2711010100,S-0359369084033055,normal,4,21,5,6,5,6,5,5,6,6,4,5,6,6,6,6,4,6,7,4,6,6,6,6,6,300
S-2711010100,S-0359369084044920,normal,4,53,5,5,5,7,5,6,4,5,6,5,6,5,6,5,5,6,6,6,5,5,6,6,7,350
S-2711010100,S-0359369084048970,normal,5,8,6,6,5,6,6,5,5,7,7,6,6,5,6,5,6,6,6,6,6,6,6,7,6,250
S-4571025029,S-0359369084040076,normal,4,7,6,6,5,6,7,6,6,6,6,6,6,6,6,6,6,6,7,5,5,7,5,7,6,260
S-2911010107,S-0359369084041819,normal,4,12,5,7,5,6,6,5,6,6,6,6,5,6,7,7,6,8,5,5,6,7,6,6,7,400
S-2711010100,S-0359369084038070,normal,5,18,10,13,7,6,7,7,5,6,7,6,7,7,6,6,7,6,7,7,6,7,7,7,7,360
S-4521010100,S-0359369084101266,normal,4,13,5,6,5,5,5,5,7,5,5,6,5,5,6,6,7,6,5,7,7,6,5,5,5,370
S-4571025029,S-0359369084036223,normal,4,22,5,7,6,6,6,6,6,6,6,6,7,8,6,6,7,6,6,6,7,10,11,8,6,280
S-2911010107,S-0359369084032784,normal,4,19,5,6,6,5,5,6,6,7,5,5,5,6,5,6,7,7,6,6,7,6,7,5,6,360
S-4571025029,S-0359369084043625,normal,4,25,5,6,5,6,7,5,8,5,5,6,6,7,6,7,8,7,7,7,8,6,7,7,6,340
S-4571025029,S-0359369084050216,normal,5,18,6,7,7,6,6,8,7,7,9,7,18,10,7,7,7,5,7,8,8,17,17,27,13,260
S-2911010107,S-0359369084039888,normal,3,8,4,5,6,5,6,5,4,5,4,5,6,6,6,5,5,5,6,6,5,6,6,5,6,360
S-4571025029,S-0359369084039714,normal,4,56,4,5,5,4,6,6,6,5,5,5,6,5,5,6,6,6,5,6,5,7,5,5,6,320
S-4521010100,S-0359369084095252,normal,4,15,5,6,6,9,5,7,5,7,6,6,7,7,6,5,5,6,6,5,6,5,6,5,5,170
S-4571025029,S-0359369084048327,normal,5,31,8,6,7,8,8,8,8,7,10,11,8,18,7,8,6,7,8,11,11,8,8,6,11,270
S-4571025029,S-0359369084041090,normal,4,12,6,5,5,4,6,6,4,5,6,6,6,5,6,6,6,6,6,6,6,7,6,6,6,260
S-4571025029,S-0359369084042874,normal,5,18,5,5,5,5,6,6,6,6,5,7,7,7,6,6,7,6,6,7,7,7,7,6,6,260
S-2911010103,S-0359369081383008,normal,4,10,6,4,6,4,5,4,6,5,5,5,6,6,5,6,5,6,5,6,6,6,6,6,6,380
S-4521010100,S-0359369084095211,normal,4,30,5,5,5,5,5,5,5,6,5,5,5,5,7,6,5,5,5,5,6,5,5,5,6,410
S-2711010100,S-0359369084040043,normal,4,16,9,10,7,8,7,5,7,6,6,6,5,4,5,4,5,6,4,6,5,5,5,5,5,440
S-2911010107,S-0359369084047162,normal,4,60,6,5,6,6,6,6,5,5,6,5,6,7,5,5,5,5,6,5,5,5,5,6,5,370
S-4571025029,S-0359369084040548,normal,3,9,5,6,5,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,7,7,9,5,180
S-4571025029,S-0359369084038856,normal,5,16,6,7,7,6,5,5,7,7,5,6,6,7,6,6,6,6,6,8,9,9,8,7,7,270
S-2911010107,S-0359369084032073,normal,4,12,6,5,5,6,6,6,5,5,7,6,6,6,6,5,5,6,6,6,6,6,8,6,6,260
S-4571025029,S-0359369084036975,normal,4,14,6,5,5,6,6,6,6,6,6,6,6,7,7,6,7,6,6,5,6,6,7,6,6,380
S-4521010100,S-0359369084093844,normal,4,6,6,6,6,6,5,5,6,5,5,7,6,6,5,5,6,6,7,6,5,7,6,6,5,380
S-4571025029,S-0359369084041249,normal,4,28,6,5,6,6,6,5,5,6,6,6,5,6,5,5,6,6,6,6,7,6,6,6,6,290
S-2711010100,S-0359369085216808,normal,4,8,6,5,6,5,6,9,9,8,8,9,14,8,5,6,6,6,6,6,6,6,6,7,6,2580
S-4571025029,S-0359369084040217,normal,7,25,10,9,11,8,8,12,13,10,13,13,44,8,11,11,7,9,9,10,9,15,10,14,11,250
